engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
league: handcrafted 0.15, frozen 0.25 across 1 snapshot(s) ['penta_net.ckpt-9000.npz']
games    64  eps 0.100  loss 0.3605  samples  4575  replay   4575  len 494.0  caps 33   1.69 games/s
games   128  eps 0.099  loss 0.3149  samples  7057  replay  11632  len 462.0  caps 23   2.21 games/s
games   192  eps 0.099  loss 0.3329  samples  6148  replay  17780  len 520.9  caps 35   2.24 games/s
games   256  eps 0.098  loss 0.2912  samples  4215  replay  21995  len 485.1  caps 33   2.56 games/s
games   320  eps 0.097  loss 0.2781  samples  2657  replay  24652  len 545.5  caps 48   2.68 games/s
games   384  eps 0.097  loss 0.2816  samples  4422  replay  29074  len 510.2  caps 38   2.86 games/s
games   448  eps 0.096  loss 0.2764  samples  3857  replay  32931  len 481.7  caps 36   3.04 games/s
games   512  eps 0.096  loss 0.2797  samples  3983  replay  36914  len 524.7  caps 39   3.08 games/s
games   576  eps 0.095  loss 0.3050  samples  4142  replay  41056  len 508.7  caps 38   3.19 games/s
games   640  eps 0.094  loss 0.3013  samples  3616  replay  44672  len 511.0  caps 42   3.29 games/s
games   704  eps 0.094  loss 0.3141  samples  3743  replay  48415  len 511.4  caps 40   3.32 games/s
games   768  eps 0.093  loss 0.3145  samples  4087  replay  52502  len 499.8  caps 37   3.26 games/s
games   832  eps 0.092  loss 0.3153  samples  4647  replay  57149  len 544.0  caps 43   3.24 games/s
games   896  eps 0.092  loss 0.3219  samples  1138  replay  58287  len 512.2  caps 48   3.35 games/s
games   960  eps 0.091  loss 0.3127  samples  2649  replay  60936  len 520.1  caps 44   3.45 games/s
games  1024  eps 0.090  loss 0.2995  samples  2161  replay  63097  len 539.0  caps 48   3.49 games/s
games  1088  eps 0.090  loss 0.2994  samples  2744  replay  65841  len 529.0  caps 45   3.54 games/s
games  1152  eps 0.089  loss 0.2914  samples  2677  replay  68518  len 500.8  caps 41   3.60 games/s
games  1216  eps 0.088  loss 0.2990  samples  3129  replay  71647  len 533.8  caps 46   3.47 games/s
games  1280  eps 0.088  loss 0.2928  samples  3695  replay  75342  len 517.2  caps 41   3.53 games/s
games  1344  eps 0.087  loss 0.2983  samples  3373  replay  78715  len 494.3  caps 41   3.55 games/s
games  1408  eps 0.087  loss 0.2833  samples  3945  replay  82660  len 506.9  caps 40   3.55 games/s
games  1472  eps 0.086  loss 0.3010  samples  2994  replay  85654  len 522.0  caps 44   3.54 games/s
games  1536  eps 0.085  loss 0.3045  samples  4864  replay  90518  len 506.1  caps 37   3.55 games/s
games  1600  eps 0.085  loss 0.3096  samples  4685  replay  95203  len 501.9  caps 36   3.49 games/s
games  1664  eps 0.084  loss 0.3006  samples  4367  replay  99570  len 518.5  caps 40   3.49 games/s
games  1728  eps 0.083  loss 0.3135  samples  2429  replay 101999  len 509.7  caps 44   3.35 games/s
games  1792  eps 0.083  loss 0.2947  samples  2780  replay 104779  len 520.8  caps 44   3.37 games/s
games  1856  eps 0.082  loss 0.3041  samples  2235  replay 107014  len 537.4  caps 48   3.40 games/s
games  1920  eps 0.081  loss 0.3031  samples  3047  replay 110061  len 549.5  caps 47   3.42 games/s
games  1984  eps 0.081  loss 0.2913  samples  2265  replay 112326  len 526.4  caps 48   3.38 games/s
games  2000  eps 0.080  loss 0.2876  samples  1332  replay 113658  len 457.1  caps 8   3.37 games/s
done: 2000 games -> penta_net_latest.npz
