engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
league: handcrafted 0.15, frozen 0.25 across 1 snapshot(s) ['penta_net.ckpt-15000.npz']
games    64  eps 0.100  loss 0.1721  samples  3183  replay   3183  len 518.1  caps 43   3.16 games/s
games   128  eps 0.099  loss 0.2001  samples  3023  replay   6206  len 523.3  caps 44   2.96 games/s
games   192  eps 0.099  loss 0.3112  samples  4105  replay  10311  len 529.6  caps 41   2.76 games/s
games   256  eps 0.098  loss 0.3322  samples  3403  replay  13714  len 510.5  caps 40   2.56 games/s
games   320  eps 0.097  loss 0.3433  samples  3420  replay  17134  len 516.4  caps 40   2.33 games/s
games   384  eps 0.097  loss 0.3230  samples  4897  replay  22031  len 487.5  caps 33   2.36 games/s
games   448  eps 0.096  loss 0.3150  samples  5563  replay  27594  len 512.0  caps 34   2.34 games/s
games   512  eps 0.096  loss 0.2972  samples  4452  replay  32046  len 499.6  caps 36   2.33 games/s
games   576  eps 0.095  loss 0.3307  samples  6889  replay  38935  len 489.5  caps 26   2.30 games/s
games   640  eps 0.094  loss 0.3398  samples  3378  replay  42313  len 504.5  caps 41   2.24 games/s
games   704  eps 0.094  loss 0.3333  samples  5604  replay  47917  len 479.5  caps 30   2.23 games/s
games   768  eps 0.093  loss 0.3404  samples  4693  replay  52610  len 488.2  caps 30   2.26 games/s
games   832  eps 0.092  loss 0.3289  samples  2238  replay  54848  len 506.6  caps 45   2.18 games/s
games   896  eps 0.092  loss 0.3157  samples  2013  replay  56861  len 519.8  caps 46   2.23 games/s
games   960  eps 0.091  loss 0.3220  samples  2476  replay  59337  len 534.5  caps 46   2.25 games/s
games  1024  eps 0.090  loss 0.3293  samples  2686  replay  62023  len 531.0  caps 46   2.30 games/s
games  1088  eps 0.090  loss 0.3104  samples  2747  replay  64770  len 506.6  caps 41   2.30 games/s
games  1152  eps 0.089  loss 0.3106  samples  3026  replay  67796  len 519.6  caps 43   2.32 games/s
games  1216  eps 0.088  loss 0.3213  samples  2800  replay  70596  len 528.1  caps 45   2.32 games/s
games  1280  eps 0.088  loss 0.3148  samples  2254  replay  72850  len 501.5  caps 44   2.32 games/s
games  1344  eps 0.087  loss 0.3152  samples  3337  replay  76187  len 518.0  caps 41   2.32 games/s
games  1408  eps 0.087  loss 0.3113  samples  2620  replay  78807  len 520.9  caps 43   2.33 games/s
games  1472  eps 0.086  loss 0.3024  samples  3698  replay  82505  len 501.9  caps 38   2.34 games/s
games  1536  eps 0.085  loss 0.3243  samples  3060  replay  85565  len 490.9  caps 40   2.35 games/s
games  1600  eps 0.085  loss 0.3263  samples  6156  replay  91721  len 500.0  caps 31   2.32 games/s
games  1664  eps 0.084  loss 0.3402  samples  3033  replay  94754  len 516.6  caps 42   2.31 games/s
games  1728  eps 0.083  loss 0.3425  samples  3092  replay  97846  len 519.1  caps 42   2.33 games/s
games  1792  eps 0.083  loss 0.3283  samples  4148  replay 101994  len 518.0  caps 38   2.33 games/s
games  1856  eps 0.082  loss 0.3307  samples  2823  replay 104817  len 498.5  caps 41   2.34 games/s
games  1920  eps 0.081  loss 0.3327  samples  2846  replay 107663  len 526.4  caps 46   2.30 games/s
games  1984  eps 0.081  loss 0.3361  samples  1613  replay 109276  len 504.8  caps 46   2.32 games/s
games  2000  eps 0.080  loss 0.3343  samples   558  replay 109834  len 552.0  caps 12   2.31 games/s
ring: saved 109834 samples + momentum -> penta_ring.npz
done: 2000 games -> penta_net_latest.npz
