=== game 4: Sligh (us, p1) vs Lions DIB ===
  T12 PostcombatMain [their turn] life [16, 13] | 3 options -> PassPriority
  T12 End [their turn] life [16, 13] | 3 options -> PassPriority
  T13 Upkeep [our turn] life [16, 13] | 7 options -> PassPriority
  T13 Draw [our turn] life [16, 13] | 12 options -> Cast Lightning Bolt -> player p2
  T13 Draw [our turn] life [16, 13] | 6 options -> PassPriority
  T13 Draw [our turn] life [16, 10] | 6 options -> PassPriority
  T13 PrecombatMain [our turn] life [16, 10] | 8 options -> PlayLand Mountain
  T13 PrecombatMain [our turn] life [16, 10] | 8 options -> PassPriority
  T13 BeginningOfCombat [our turn] life [16, 10] | 7 options -> PassPriority
  T13 DeclareAttackers [our turn] life [16, 10] | 2 options -> FinishDeclaringAttackers
  T13 DeclareAttackers [our turn] life [16, 10] | 7 options -> PassPriority
  T13 DeclareBlockers [our turn] life [16, 10] | 7 options -> PassPriority
  T13 CombatDamage [our turn] life [16, 10] | 7 options -> PassPriority
  T13 EndOfCombat [our turn] life [16, 10] | 7 options -> PassPriority
  T13 PostcombatMain [our turn] life [16, 10] | 8 options -> PassPriority
  T13 End [our turn] life [16, 10] | 7 options -> PassPriority
  T14 Upkeep [their turn] life [16, 10] | 7 options -> PassPriority
  T14 Draw [their turn] life [16, 10] | 7 options -> Activate Mishra's Factory
  T14 Draw [their turn] life [16, 10] | 6 options -> PassPriority
  T14 Draw [their turn] life [16, 10] | 7 options -> PassPriority
  T14 PrecombatMain [their turn] life [16, 10] | 7 options -> PassPriority
  T14 PrecombatMain [their turn] life [16, 10] | 7 options -> PassPriority
  T14 BeginningOfCombat [their turn] life [16, 10] | 7 options -> PassPriority
  T14 BeginningOfCombat [their turn] life [16, 10] | 8 options -> PassPriority
  T14 DeclareAttackers [their turn] life [16, 10] | 8 options -> PassPriority
  T14 DeclareBlockers [their turn] life [16, 10] | 4 options -> Block Mishra's Factory with Mishra's Factory
  T14 DeclareBlockers [their turn] life [16, 10] | 2 options -> FinishDeclaringBlockers
  T14 DeclareBlockers [their turn] life [16, 10] | 8 options -> PassPriority
  T14 CombatDamage [their turn] life [11, 10] | 4 options -> PassPriority
  T14 EndOfCombat [their turn] life [11, 10] | 4 options -> PassPriority
  T14 PostcombatMain [their turn] life [11, 9] | 4 options -> PassPriority
  T14 End [their turn] life [11, 9] | 4 options -> PassPriority
  T15 Upkeep [their turn] life [11, 9] | 4 options -> PassPriority
  T15 Draw [their turn] life [11, 9] | 4 options -> PassPriority
  T15 Draw [their turn] life [13, 9] | 4 options -> PassPriority
  T15 PrecombatMain [their turn] life [13, 9] | 4 options -> PassPriority
  T15 BeginningOfCombat [their turn] life [13, 9] | 4 options -> PassPriority
  T15 DeclareAttackers [their turn] life [13, 9] | 4 options -> PassPriority
  T15 DeclareBlockers [their turn] life [13, 9] | 4 options -> PassPriority
  T15 CombatDamage [their turn] life [8, 9] | 4 options -> PassPriority
  T15 EndOfCombat [their turn] life [8, 9] | 4 options -> PassPriority
  T15 PostcombatMain [their turn] life [8, 9] | 4 options -> PassPriority
  T15 End [their turn] life [8, 9] | 4 options -> PassPriority
  T16 Upkeep [our turn] life [8, 9] | 6 options -> PassPriority
  T16 Draw [our turn] life [8, 9] | 6 options -> PassPriority
  T16 PrecombatMain [our turn] life [8, 9] | 8 options -> PlayLand Strip Mine
  T16 PrecombatMain [our turn] life [8, 9] | 18 options -> Tap Mountain for mana
  T16 PrecombatMain [our turn] life [8, 9] | 17 options -> Cast Ironclaw Orcs
  T16 PrecombatMain [our turn] life [8, 9] | 15 options -> PassPriority
  T16 PrecombatMain [our turn] life [8, 9] | 15 options -> PassPriority
  T16 BeginningOfCombat [our turn] life [8, 9] | 15 options -> PassPriority
  T16 DeclareAttackers [our turn] life [8, 9] | 15 options -> PassPriority
  T16 DeclareBlockers [our turn] life [8, 9] | 15 options -> PassPriority
  T16 CombatDamage [our turn] life [8, 9] | 15 options -> PassPriority
  T16 EndOfCombat [our turn] life [8, 9] | 15 options -> PassPriority
  T16 PostcombatMain [our turn] life [8, 9] | 15 options -> PassPriority
  T16 End [our turn] life [8, 9] | 15 options -> PassPriority
  T17 Upkeep [their turn] life [8, 9] | 15 options -> PassPriority
  T17 Draw [their turn] life [8, 9] | 15 options -> PassPriority
  T17 PrecombatMain [their turn] life [8, 9] | 15 options -> PassPriority
  T17 PrecombatMain [their turn] life [8, 9] | 4 options -> PassPriority
  T17 BeginningOfCombat [their turn] life [8, 9] | 4 options -> PassPriority
  T17 DeclareAttackers [their turn] life [8, 9] | 4 options -> PassPriority
  T17 DeclareBlockers [their turn] life [8, 9] | 2 options -> FinishDeclaringBlockers
  T17 DeclareBlockers [their turn] life [8, 9] | 4 options -> PassPriority
  T17 CombatDamage [their turn] life [3, 9] | 4 options -> PassPriority
  T17 EndOfCombat [their turn] life [3, 9] | 4 options -> PassPriority
  T17 PostcombatMain [their turn] life [3, 9] | 4 options -> PassPriority
  T17 End [their turn] life [3, 9] | 4 options -> PassPriority
  T18 Upkeep [our turn] life [3, 9] | 6 options -> PassPriority
  T18 Draw [our turn] life [3, 9] | 6 options -> PassPriority
  T18 PrecombatMain [our turn] life [3, 9] | 7 options -> PassPriority
  T18 BeginningOfCombat [our turn] life [3, 9] | 6 options -> PassPriority
  T18 DeclareAttackers [our turn] life [3, 9] | 2 options -> FinishDeclaringAttackers
  T18 DeclareAttackers [our turn] life [3, 9] | 6 options -> PassPriority
  T18 DeclareBlockers [our turn] life [3, 9] | 6 options -> PassPriority
