=== game 7: Sligh (us, p2) vs White Weenie ===
  T13 Upkeep [their turn] life [12, 11] | 25 options -> PassPriority
  T13 Upkeep [their turn] life [12, 11] | 25 options -> PassPriority
  T13 Upkeep [their turn] life [12, 11] | 25 options -> PassPriority
  T13 Draw [their turn] life [12, 11] | 25 options -> PassPriority
  T13 PrecombatMain [their turn] life [12, 11] | 27 options -> PassPriority
  T13 BeginningOfCombat [their turn] life [12, 11] | 27 options -> PassPriority
  T13 BeginningOfCombat [their turn] life [12, 11] | 27 options -> PassPriority
  T13 DeclareAttackers [their turn] life [12, 11] | 27 options -> PassPriority
  T13 DeclareBlockers [their turn] life [12, 11] | 27 options -> PassPriority
  T13 CombatDamage [their turn] life [12, 7] | 27 options -> PassPriority
  T13 CombatDamage [their turn] life [12, 7] | 27 options -> PassPriority
  T13 EndOfCombat [their turn] life [12, 7] | 27 options -> PassPriority
  T13 PostcombatMain [their turn] life [12, 7] | 27 options -> PassPriority
  T13 End [their turn] life [12, 7] | 27 options -> PassPriority
  T14 Upkeep [our turn] life [12, 7] | 28 options -> PassPriority
  T14 Draw [our turn] life [12, 7] | 28 options -> PassPriority
  T14 PrecombatMain [our turn] life [12, 7] | 31 options -> Cast Dragon Whelp
  T14 PrecombatMain [our turn] life [12, 7] | 3 options -> PlayLand Mishra's Factory
  T14 PrecombatMain [our turn] life [12, 7] | 4 options -> PassPriority
  T14 BeginningOfCombat [our turn] life [12, 7] | 3 options -> PassPriority
  T14 DeclareAttackers [our turn] life [12, 7] | 4 options -> Attack with Goblin Balloon Brigade -> p1
  T14 DeclareAttackers [our turn] life [12, 7] | 3 options -> Attack with Goblins of the Flarg -> p1
  T14 DeclareAttackers [our turn] life [12, 7] | 2 options -> Attack with Goblins of the Flarg -> p1
  T14 DeclareAttackers [our turn] life [12, 7] | 3 options -> PassPriority
  T14 DeclareBlockers [our turn] life [12, 7] | 3 options -> PassPriority
  T14 CombatDamage [our turn] life [9, 7] | 3 options -> PassPriority
  T14 EndOfCombat [our turn] life [9, 7] | 3 options -> PassPriority
  T14 PostcombatMain [our turn] life [9, 7] | 4 options -> PassPriority
  T14 End [our turn] life [9, 7] | 3 options -> PassPriority
  T15 Upkeep [their turn] life [9, 7] | 3 options -> PassPriority
  T15 Upkeep [their turn] life [9, 7] | 3 options -> PassPriority
  T15 Upkeep [their turn] life [9, 7] | 3 options -> PassPriority
  T15 Upkeep [their turn] life [9, 7] | 3 options -> PassPriority
  T15 Draw [their turn] life [9, 7] | 3 options -> PassPriority
  T15 PrecombatMain [their turn] life [9, 7] | 3 options -> PassPriority
  T15 BeginningOfCombat [their turn] life [9, 7] | 3 options -> PassPriority
  T15 BeginningOfCombat [their turn] life [9, 7] | 4 options -> PassPriority
  T15 DeclareAttackers [their turn] life [9, 7] | 4 options -> PassPriority
  T15 DeclareBlockers [their turn] life [9, 7] | 3 options -> Block Mishra's Factory with Dragon Whelp
  T15 DeclareBlockers [their turn] life [9, 7] | 4 options -> PassPriority
  T15 CombatDamage [their turn] life [9, 3] | 4 options -> PassPriority
  T15 CombatDamage [their turn] life [9, 3] | 3 options -> PassPriority
  T15 EndOfCombat [their turn] life [9, 3] | 3 options -> PassPriority
  T15 PostcombatMain [their turn] life [9, 3] | 3 options -> PassPriority
  T15 End [their turn] life [9, 3] | 3 options -> PassPriority
  T16 Upkeep [our turn] life [9, 3] | 31 options -> PassPriority
  T16 Draw [our turn] life [9, 3] | 31 options -> PassPriority
  T16 PrecombatMain [our turn] life [9, 3] | 33 options -> Cast Blood Moon
  T16 PrecombatMain [our turn] life [9, 3] | 6 options -> PassPriority
  T16 PrecombatMain [our turn] life [9, 3] | 6 options -> PassPriority
  T16 BeginningOfCombat [our turn] life [9, 3] | 5 options -> PassPriority
  T16 DeclareAttackers [our turn] life [9, 3] | 5 options -> Attack with Dragon Whelp -> p1
  T16 DeclareAttackers [our turn] life [9, 3] | 4 options -> Attack with Goblin Balloon Brigade -> p1
  T16 DeclareAttackers [our turn] life [9, 3] | 3 options -> Attack with Goblins of the Flarg -> p1
  T16 DeclareAttackers [our turn] life [9, 3] | 2 options -> Attack with Goblins of the Flarg -> p1
  T16 DeclareAttackers [our turn] life [9, 3] | 5 options -> PassPriority
  T16 DeclareBlockers [our turn] life [9, 3] | 5 options -> PassPriority
  T16 CombatDamage [our turn] life [4, 3] | 5 options -> PassPriority
  T16 EndOfCombat [our turn] life [4, 3] | 5 options -> PassPriority
  T16 PostcombatMain [our turn] life [4, 3] | 6 options -> PassPriority
  T16 End [our turn] life [4, 3] | 5 options -> PassPriority
  T17 Upkeep [their turn] life [4, 3] | 5 options -> Tap Mishra's Factory for mana
  T17 Upkeep [their turn] life [4, 3] | 4 options -> PassPriority
  T17 Upkeep [their turn] life [4, 3] | 4 options -> PassPriority
  T17 Upkeep [their turn] life [4, 3] | 4 options -> Tap Mountain for mana
  T17 Upkeep [their turn] life [4, 3] | 3 options -> Activate Goblin Balloon Brigade
  T17 Upkeep [their turn] life [4, 3] | 3 options -> PassPriority
  T17 Upkeep [their turn] life [4, 3] | 3 options -> PassPriority
  T17 Upkeep [their turn] life [4, 3] | 4 options -> PassPriority
  T17 Draw [their turn] life [4, 3] | 4 options -> Activate Goblin Balloon Brigade
=== result: LOSS after 264 decisions ===
