engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
league: handcrafted 0.15, frozen 0.25 across 1 snapshot(s) ['penta_net.ckpt-3000.npz']
games    64  eps 0.100  loss 0.5265  samples  9863  replay   9863  len 456.9  caps 17   4.28 games/s
games   128  eps 0.099  loss 0.5241  samples 10901  replay  20764  len 442.2  caps 15   3.25 games/s
games   192  eps 0.099  loss 0.5303  samples 10268  replay  31032  len 462.8  caps 25   3.53 games/s
games   256  eps 0.098  loss 0.5641  samples 12484  replay  43516  len 512.0  caps 24   3.47 games/s
games   320  eps 0.097  loss 0.5612  samples 10830  replay  54346  len 460.7  caps 22   3.57 games/s
games   384  eps 0.097  loss 0.5536  samples 11437  replay  65783  len 460.1  caps 18   3.41 games/s
games   448  eps 0.096  loss 0.5611  samples 12005  replay  77788  len 451.8  caps 23   3.16 games/s
games   512  eps 0.096  loss 0.5542  samples 12008  replay  89796  len 449.1  caps 18   3.12 games/s
games   576  eps 0.095  loss 0.5542  samples 12672  replay 102468  len 474.2  caps 23   3.16 games/s
games   640  eps 0.094  loss 0.5579  samples 12352  replay 114820  len 482.2  caps 22   3.13 games/s
games   704  eps 0.094  loss 0.5606  samples 12851  replay 127671  len 485.3  caps 26   2.93 games/s
games   768  eps 0.093  loss 0.5634  samples 11123  replay 138794  len 466.2  caps 24   2.96 games/s
games   832  eps 0.092  loss 0.5596  samples 11910  replay 150000  len 501.6  caps 32   3.00 games/s
games   896  eps 0.092  loss 0.5740  samples 12478  replay 150000  len 501.4  caps 28   2.96 games/s
games   960  eps 0.091  loss 0.5718  samples 12634  replay 150000  len 475.6  caps 27   2.98 games/s
games  1024  eps 0.090  loss 0.5769  samples 12640  replay 150000  len 468.9  caps 30   2.93 games/s
games  1088  eps 0.090  loss 0.5755  samples 10417  replay 150000  len 468.2  caps 29   2.95 games/s
games  1152  eps 0.089  loss 0.5838  samples 11874  replay 150000  len 507.3  caps 36   2.98 games/s
games  1216  eps 0.088  loss 0.5862  samples 10959  replay 150000  len 511.2  caps 35   2.95 games/s
games  1280  eps 0.088  loss 0.5903  samples 11221  replay 150000  len 505.2  caps 32   2.93 games/s
games  1344  eps 0.087  loss 0.5950  samples 11477  replay 150000  len 471.4  caps 30   2.95 games/s
games  1408  eps 0.087  loss 0.5955  samples 11976  replay 150000  len 477.3  caps 23   2.76 games/s
games  1472  eps 0.086  loss 0.6001  samples 11309  replay 150000  len 464.9  caps 26   2.78 games/s
games  1536  eps 0.085  loss 0.5999  samples 11292  replay 150000  len 468.4  caps 24   2.78 games/s
games  1600  eps 0.085  loss 0.5955  samples 11131  replay 150000  len 485.4  caps 26   2.79 games/s
games  1664  eps 0.084  loss 0.5913  samples 11921  replay 150000  len 492.8  caps 25   2.80 games/s
games  1728  eps 0.083  loss 0.5859  samples 12527  replay 150000  len 501.9  caps 28   2.73 games/s
games  1792  eps 0.083  loss 0.5845  samples 11805  replay 150000  len 464.2  caps 16   2.74 games/s
games  1856  eps 0.082  loss 0.5791  samples 11571  replay 150000  len 481.0  caps 27   2.75 games/s
games  1920  eps 0.081  loss 0.5675  samples 10182  replay 150000  len 468.5  caps 20   2.78 games/s
games  1984  eps 0.081  loss 0.5657  samples 10780  replay 150000  len 446.9  caps 15   2.80 games/s
games  2000  eps 0.080  loss 0.5522  samples  2599  replay 150000  len 470.6  caps 8   2.80 games/s
done: 2000 games -> penta_net_latest.npz
