engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
league: handcrafted 0.15, frozen 0.25 across 1 snapshot(s) ['penta_net.ckpt-5000.npz']
games    64  eps 0.100  loss 0.5772  samples 10589  replay  10589  len 481.8  caps 30   3.37 games/s
games   128  eps 0.099  loss 0.5833  samples 10966  replay  21555  len 496.6  caps 31   3.68 games/s
games   192  eps 0.099  loss 0.6149  samples 12198  replay  33753  len 525.8  caps 37   3.63 games/s
games   256  eps 0.098  loss 0.6022  samples 10426  replay  44179  len 501.8  caps 26   3.53 games/s
games   320  eps 0.097  loss 0.6023  samples 11426  replay  55605  len 493.0  caps 31   3.64 games/s
games   384  eps 0.097  loss 0.6072  samples 11834  replay  67439  len 516.5  caps 37   3.55 games/s
games   448  eps 0.096  loss 0.6016  samples 10922  replay  78361  len 496.6  caps 29   3.43 games/s
games   512  eps 0.096  loss 0.5919  samples 10192  replay  88553  len 464.8  caps 23   3.41 games/s
games   576  eps 0.095  loss 0.5866  samples 10128  replay  98681  len 487.6  caps 31   3.52 games/s
games   640  eps 0.094  loss 0.5889  samples 10510  replay 109191  len 512.6  caps 37   3.63 games/s
games   704  eps 0.094  loss 0.5880  samples 12183  replay 121374  len 498.6  caps 33   3.66 games/s
games   768  eps 0.093  loss 0.5858  samples 10166  replay 131540  len 451.1  caps 26   3.61 games/s
games   832  eps 0.092  loss 0.5800  samples 10506  replay 142046  len 475.4  caps 28   3.66 games/s
games   896  eps 0.092  loss 0.5778  samples 11516  replay 150000  len 493.8  caps 31   3.68 games/s
games   960  eps 0.091  loss 0.5730  samples 10850  replay 150000  len 507.4  caps 32   3.69 games/s
games  1024  eps 0.090  loss 0.5744  samples 11780  replay 150000  len 531.5  caps 39   3.48 games/s
games  1088  eps 0.090  loss 0.5768  samples 10504  replay 150000  len 504.0  caps 35   3.50 games/s
games  1152  eps 0.089  loss 0.5770  samples 11557  replay 150000  len 511.1  caps 36   3.49 games/s
games  1216  eps 0.088  loss 0.5867  samples 11578  replay 150000  len 522.2  caps 40   3.49 games/s
games  1280  eps 0.088  loss 0.5789  samples 11476  replay 150000  len 520.3  caps 38   3.53 games/s
games  1344  eps 0.087  loss 0.5868  samples 10691  replay 150000  len 509.9  caps 36   3.52 games/s
games  1408  eps 0.087  loss 0.5957  samples 11738  replay 150000  len 532.4  caps 38   3.51 games/s
games  1472  eps 0.086  loss 0.5944  samples 10963  replay 150000  len 504.8  caps 36   3.54 games/s
games  1536  eps 0.085  loss 0.5947  samples 11393  replay 150000  len 503.1  caps 31   3.54 games/s
games  1600  eps 0.085  loss 0.5962  samples 10654  replay 150000  len 524.4  caps 34   3.56 games/s
games  1664  eps 0.084  loss 0.5967  samples 11559  replay 150000  len 519.4  caps 33   3.49 games/s
games  1728  eps 0.083  loss 0.6022  samples 11889  replay 150000  len 517.1  caps 35   3.50 games/s
games  1792  eps 0.083  loss 0.6026  samples 11207  replay 150000  len 498.5  caps 30   3.50 games/s
games  1856  eps 0.082  loss 0.5962  samples 10824  replay 150000  len 471.7  caps 28   3.48 games/s
games  1920  eps 0.081  loss 0.5965  samples 12208  replay 150000  len 518.9  caps 37   3.50 games/s
games  1984  eps 0.081  loss 0.5947  samples 12147  replay 150000  len 516.4  caps 36   3.50 games/s
games  2000  eps 0.080  loss 0.5961  samples  3283  replay 150000  len 519.1  caps 9   3.49 games/s
done: 2000 games -> penta_net_latest.npz
